Type,Name,Description
Technical,Business Law,"Knowledge of business and commercial law, including the Uniform Commercial Code (UCC) and contract law, as they pertain to credit unions."
Technical,Corporate Governance,"Knowledge of generally accepted industry standards and protocols for due diligence; including internal controls, control structure/environment, director and management accountability, fiduciary responsibility, reporting structures, and management oversight."
Technical,Economics,"Knowledge of relevant economic issues, financial markets, and financial institutions."
Technical,Marketing,"Knowledge of tools and techniques (e.g., demographics, data aggregation, penetration, member relationship management) for promoting products, services, and programs."
Technical,Organizational Structure,"Knowledge of credit union organizational structures (e.g., accountability, communication channels, work flow, delineation of responsibility, supervisory relationships, organizational chart) and general legal structures (e.g., CUSOs)."
Technical,Risk Management,Knowledge of methods and tools used for enterprise-wide risk management (i.e. integrating assessments of risk across the credit union to determine and mitigate overall risk exposure).
Technical,Statistics,"Knowledge of statistical principles, methods, and tools; ability to use statistical data in order to make recommendations or decisions."
Technical,Strategic Management,"Knowledge of the fundamental aspects of the planning process.  Ability to analyze relationships between strategic and business plans and their impact on the credit union’s financial condition, operations, or reputation."
Technical,Prioritization,Ability to determine and prioritize areas to be reviewed during an examination or supervision contact.
Technical,Credit Administration,"Knowledge of lending principles, industry practices, and markets; including policies, underwriting and documentation, pricing, purchasing, selling, servicing, and collecting consumer, real estate, commercial loans, and participation loans."
Technical,Examination Techniques and Procedures,Knowledge of examination procedures; ability to analyze information to identify and determine appropriate actions needed to resolve concerns.
Technical,Financial Analysis,"Knowledge of the fundamentals of business finance, financial analysis, and asset-liability management (ALM) including internal and external sources of funding; ability to analyze and interpret financial trends and ratios, assess current financial conditions and projections."
Technical,Management Information Systems,"Knowledge of the structure of electronic processing systems, information security, third party reviews, and disaster recovery, including electronic payment systems (e.g., web-based FedLine, electronic data processing (EDP), Internet)."
Technical,Regulatory Environment,"Knowledge of federal, state, and local laws and regulations affecting credit unions (e.g., Federal Credit Union Act, NCUA Rules and Regulations, Bank Secrecy Act, Bylaws, consumer compliance regulations)."
Technical,Accounting,"Knowledge of financial reporting, accounting theory and concepts covered by generally accepted accounting principles (GAAP), with an emphasis on financial institutions; knowledge of accounting systems, structures, and controls; ability to evaluate financial statements and other financial records."
Technical,Auditing,"Knowledge of generally accepted auditing standards (GAAS) and procedures for financial and compliance audits; ability to understand the concepts of internal controls, substantive testing, and the auditor's report."
Technical,Internal Controls,Knowledge of internal control structure and components that maintain integrity of financial and compliance reporting activities; ability to evaluate the credit union’s risk of material misstatement and compliace violations due to internal control deficiencies.
Technical,Fraud,"Knowledge of types of fraud, indicators of possible fraud, and techniques to identify, investigate, and document fraud."
Technical,Policy Knowledge Maintenance,Maintains and builds on policy knowledge to stay abreast of changes and updates to internal Agency policy and relevant external policies.
Technical,Credit Risk Management,"Knowledge of methods and tools used for credit risk management; ability to assess risk across the loan portfolio , including credit risk management practices and processes, allowance methodologies, collections, and workouts; ability to identify and evaluate mitigants for aggregate portfolio risk."
Technical,Business Loans,"Knowledge of regulations and guidance, lending principles, industry practices, and markets related to business loans; ability to assess risks and risk management practices associated with individual business loans and the aggregate portfolio."
Technical,Residential Mortgage Loans,"Knowledge of regulations and guidance, lending principles, and industry practices related to residential mortgage loans; ability to assess risks and risk management practices associated with mortgage loans."
Technical,Indirect Loans/Leases,"Knowledge of regulations and guidance, lending principles, and industry practices related to indirect loans/leases; ability to assess risks and risk management practices associated with indirect loans/leases."
Technical,Investments,"Knowledge of investment policies and principles, industry practices, and markets, including pre-purchase analysis, portfolio management, permissible investment activities, characteristics (e.g., cash flows, indices, pricing, optionality), and related risk."
Technical,Liquidity Risk Management,"Knowledge of regulations and supervisory guidance related to liquidity risk and methods to identify, measure, monitor, and control liquidity risk; ability to assess liquidity risk, including actions to mitigate liquidity risk."
Technical,Interest Rate Risk Management,"Knowledge of regulations and supervisory guidance related to interest rate risk and methods to identify, measure, monitor, and control interest rate risk; ability to assess interest rate risk, including actions to mitigate interest rate risk."
Technical,Asset Liability Management Modeling,Knowledge of models used to estimate the financial risks to which the institution is exposed; ability to assess adequacy of the credit union’s asset liability management (ALM) models and practices.
Technical,Compliance Risk Management,"Knowledge of the laws, regulations, and supervisory guidance related to compliance risk and methods to identify, measure, monitor, and control compliance risk; ability to assess compliance risk, including actions to mitigate compliance risk; ability to facilitate resolution when violations occur."
Technical,Federal Consumer Protection Laws and Regulations,"Knowledge of federal consumer protection laws and regulations applicable to credit unions (for example, Truth in Savings Act, Regulations B, C, D, E, M, P, X, Z), including consequences of non-compliance; ability to determine compliance with laws and regulations."
Technical,Payment System Infrastructure,"Knowledge of payment system delivery channels, components, and structure; ability to assess payment systems and related risk, including actions to mitigate risk."
Technical,Payment System Oversight,"Knowledge of standards, processes, and practices to identify, measure, prevent, and mitigate risks, threats, and vulnerabilities associated with payment systems."
Technical,Payment System Governance,"Knowledge of NCUA Rules and Regulations, agency directives and guidance, and  industry rules, guidelines, and best practices related to identifying, measuring, managing, monitoring, reporting, and controlling risks in payment systems; ability to assess governance and related risks."
Technical,Payment System Security and Controls,"Knowledge of logical and physical access controls and oversight activities used to ensure protection of credit union assets and integrity of payment information (e.g., member information, PII)."
Technical,Information Technology Governance,"Knowledge of NCUA rules and regulations (e.g., RR Part 748, 749), agency directives and guidance, and industry best practices related to managing, monitoring, reporting, and controlling risks in information technology; ability to assess governance and related risks."
Technical,Information Technology Risk Management,"Knowledge of standards, tools, and practices to identify, detect, prevent, and mitigate information technology risks, threats, and vulnerabilities; includes the risk assessment process, risk management program, and the audit function; ability to assess adequacy of controls."
Technical,Information Security Controls,"Knowledge of logical and physical tools and techniques to ensure protection, confidentiality, integrity, and availability of data and information."
Technical,Business Continuity,"Knowledge of policies, procedures, and practices (e.g., business impact analysis, risk management, testing) to ensure continuity of business operations in the event of a disaster or incident."
Technical,BSA/AML Compliance Risk Management,"Knowledge of BSA/AML laws, rules, regulations, and supervisory guidance and the methods to identify, measure, monitor, and control BSA/AML compliance risk; ability to assess BSA/AML compliance risk and facilitate resolution when violations or deficiencies are identified."
Technical,Office of Foreign Assets Control Compliance Risk Management,"Knowledge of OFAC laws, rules, regulations, and supervisory guidance and the methods to identify, measure, monitor, and control OFAC compliance risk; ability to assess OFAC compliance risk and facilitate resolution when violations or deficiencies are identified."
ECQ,Commitment to the Rule of Law and the Principles of the American Founding,"This core qualification requires a demonstrated knowledge of the American system of government, commitment to uphold the Constitution and the rule of law, and commitment to serve the American people."
ECQ,Knowledge of the American System of Government,"Demonstrates understanding and appreciation of the American system of government, including the Constitution, the Bill of Rights, separation of powers, federalism, and the historical development of the American Nation."
ECQ,Commitment to the Rule of Law,"Upholds the principles of the American Founding, including equality under the law and democratic self-government. Ensures the law is applied fairly and consistently."
ECQ,Civic-Mindedness,Stays up-to-date on important developments in American government and aligns organizational objectives and practices with presidential and public interests. Demonstrates a commitment to serve the American people.
ECQ,Driving Efficiency,"This core qualification involves the demonstrated ability to strategically and efficiently manage resources, budget effectively, cut wasteful spending, and pursue efficiency through process and technological upgrades."
ECQ,Fiscal Responsibility,"Strategically manages, allocates and monitors financial resources. Aligns priorities and initiatives to justify budget proposals. Monitors expenditures, cuts unnecessary costs, and uses cost-benefit analysis to set priorities."
ECQ,Managing Resources,"Manages resources efficiently and effectively based on current and projected organizational goals, skills, budget considerations, and staffing needs."
ECQ,Leveraging Technology,Explores emerging technology and potential applications. Incorporates technology to enhance efficiency and achieve results. Ensures access to and security of technology systems.
ECQ,Merit and Competence,"This core qualification involves the demonstrated knowledge, ability and technical competence to effectively and reliably produce work that is of exceptional quality"
ECQ,Technical Skill,"Possesses the requisite technical knowledge and subject matter expertise to consistently produce timely, high-quality work. Is considered a strong contributor in his or her domain."
ECQ,Problem Solving,"Engages in critical and data-driven thinking when diagnosing root causes and evaluating options. Identifies and promptly addresses the most pressing, high-priority problems."
ECQ,Agility and Resilience,"Anticipates and adapts to change, new ideas, new information, and new conditions. Is committed to continuous improvement. Deals effectively with pressure and remains optimistic and persistent, even under adversity."
ECQ,Leading People,"This core qualification involves the demonstrated ability to lead and inspire a group toward meeting the organization’s vision, mission, and goals, and to drive a high-performance, high-accountability culture. This includes, when necessary, the ability to lead people through change and to hold individuals accountable."
ECQ,Accountability,"Ensures that employees are appropriately recruited, selected, appraised, trained, and retained. Takes swift action to address performance- or conduct-based deficiencies in employees supervised. Holds self and others accountable for measurable high-quality, timely, and cost-effective results."
ECQ,Developing Others,Recognizes and rewards outstanding achievement in others. Develops the ability of others to perform and contribute to the organization by providing opportunities to learn through formal and informal methods. Cultivates a dynamic environment in which employees are not afraid to make mistakes.
ECQ,Executive Judgement,"Makes well-reasoned, timely, and effective decisions and considers short- and long-term implications. Communicates effectively with stakeholders across all organizational levels, sharing and guarding information where appropriate."
ECQ,Achieving Results,"This core qualification involves the demonstrated ability to achieve both individual and organizational results, and to align results to stated goals from superiors."
ECQ,Operational Mindset,Effectively translates strategies into actionable steps and processes. Partners effectively with stakeholders to drive adoption and addresses blockers to ensure successful implementation.
ECQ,Innovation,"Applies creativity to improving products and processes, challenges convention, takes measured risks, and considers ways to simplify and remove unnecessary requirements"
ECQ,Strategic Thinking,"Formulates objectives and priorities and implements plans consistent with the long-term interests of the organization by evaluating conditions, resources, capabilities, constraints, and organizational goals and values."
