"ID","Score","AnchorText","ExampleText","CatalogCriterionID","_CommentFlags","_CommentCount"
"51","1","Leadership was confined to the applicant's own team or work unit, or the reach cannot be identified from the description.","""I led my examination team's adoption of the revised report template.""","Scope of Leadership Impact","",""
"52","0","Does not describe leadership experience.","","Scope of Leadership Impact","",""
"53","5","Accomplishments consistently carry a magnitude, a before-and-after, or a scale figure tied to the applicant's own action.","""Reduced average scheduling time from 12 days to 7."" ""Closed a 40 percent midyear backlog by year end.""","Quantified Accomplishments","",""
"54","3","Some accomplishments carry measurements and others are asserted. Figures are present but uneven, or not clearly attributable to the applicant's own action.","""Reduced average scheduling time from 12 days to 7,"" alongside ""significantly improved team communication and morale.""","Quantified Accomplishments","",""
"55","1","Accomplishments are asserted qualitatively throughout. Any numbers present are incidental.","""Improved the efficiency of the scheduling process."" ""I have 15 years of experience and have led numerous examinations.""","Quantified Accomplishments","",""
"56","0","No accomplishments are claimed.","","Quantified Accomplishments","",""
"57","5","Names what this program provides and explains how it advances the stated goal. The connection is direct and specific to this program.","""My goal is a supervisory examiner role in the Eastern Region. The program's supervisory detail and the 360 feedback component address the two gaps my last performance review identified: delegating under deadline pressure, and giving corrective feedback. Neither is something I can build in my current assignment.""","Program Fit","",""
"58","3","Draws a connection between the program and the stated goal, but it is incomplete. What the program provides, how it advances the goal, or what makes this program the right one is missing or only implied.","""This program would give me the leadership skills I need to reach my goal of moving into a supervisory role.""","Program Fit","",""
"59","1","States a goal and an interest in the program without connecting them.","""I am applying to this program. My long-term goal is to become a supervisory examiner.""","Program Fit","",""
"60","0","Does not address why this program.","","Program Fit","",""
"61","1","Addresses the criterion in general terms only. No specific example is given.","""I am a motivating leader and my colleagues look to me for encouragement. I bring a positive attitude to every team I join.""","Inspire Others","",""
