"ID","CompetencyName","Description","State","CompetencyTypeID","_CommentFlags","_CommentCount"
"23","Memory","Retains and recalls information.","Active","Technical","",""
"24","Organizational Awareness","Understands the organization’s mission and functions; operates effectively within the social, political, and technological systems including the programs, rules, policies, procedures, and regulations of the organization.","Active","Technical","",""
"25","Reasoning","Interprets rules, principles, or relationships that explain facts, data, or other information; analyzes information and reviews alternatives in order to draw accurate conclusions.","Active","Technical","",""
"26","Teaching Others","Helps others learn through formal or informal methods; identifies training needs; provides constructive feedback; coaches others on how to perform tasks; acts as a mentor.","Active","Technical","",""
"27","Business Law","Knowledge of business and commercial law, including the Uniform Commercial Code (UCC) and contract law, as they pertain to credit unions.","Active","Technical","",""
"28","Corporate Governance","Knowledge of generally accepted industry standards and protocols for due diligence; including internal controls, control structure/environment, director and management accountability, fiduciary responsibility, reporting structures, and management oversight.","Active","Technical","",""
"29","Economics","Knowledge of relevant economic issues, financial markets, and financial institutions.","Active","Technical","",""
"30","Marketing","Knowledge of tools and techniques (e.g., demographics, data aggregation, penetration, member relationship management) for promoting products, services, and programs.","Active","Technical","",""
"31","Organizational Structure","Knowledge of credit union organizational structures (e.g., accountability, communication channels, work flow, delineation of responsibility, supervisory relationships, organizational chart) and general legal structures (e.g., CUSOs).","Active","Technical","",""
"32","Risk Management","Knowledge of methods and tools used for enterprise-wide risk management (i.e. integrating assessments of risk across the credit union to determine and mitigate overall risk exposure).","Active","Technical","",""
"33","Statistics","Knowledge of statistical principles, methods, and tools; ability to use statistical data in order to make recommendations or decisions.","Active","Technical","",""
"34","Strategic Management","Knowledge of the fundamental aspects of the planning process.  Ability to analyze relationships between strategic and business plans and their impact on the credit union’s financial condition, operations, or reputation.","Active","Technical","",""
"35","Prioritization","Ability to determine and prioritize areas to be reviewed during an examination or supervision contact.","Active","Technical","",""
"36","Credit Administration","Knowledge of lending principles, industry practices, and markets; including policies, underwriting and documentation, pricing, purchasing, selling, servicing, and collecting consumer, real estate, commercial loans, and participation loans.","Active","Technical","",""
"37","Examination Techniques and Procedures","Knowledge of examination procedures; ability to analyze information to identify and determine appropriate actions needed to resolve concerns.","Active","Technical","",""
"38","Financial Analysis","Knowledge of the fundamentals of business finance, financial analysis, and asset-liability management (ALM) including internal and external sources of funding; ability to analyze and interpret financial trends and ratios, assess current financial conditions and projections.","Active","Technical","",""
"39","Management Information Systems","Knowledge of the structure of electronic processing systems, information security, third party reviews, and disaster recovery, including electronic payment systems (e.g., web-based FedLine, electronic data processing (EDP), Internet).","Active","Technical","",""
"40","Regulatory Environment","Knowledge of federal, state, and local laws and regulations affecting credit unions (e.g., Federal Credit Union Act, NCUA Rules and Regulations, Bank Secrecy Act, Bylaws, consumer compliance regulations).","Active","Technical","",""
"41","Accounting","Knowledge of financial reporting, accounting theory and concepts covered by generally accepted accounting principles (GAAP), with an emphasis on financial institutions; knowledge of accounting systems, structures, and controls; ability to evaluate financial statements and other financial records.","Active","Technical","",""
"42","Auditing","Knowledge of generally accepted auditing standards (GAAS) and procedures for financial and compliance audits; ability to understand the concepts of internal controls, substantive testing, and the auditor's report.","Active","Technical","",""
"43","Internal Controls","Knowledge of internal control structure and components that maintain integrity of financial and compliance reporting activities; ability to evaluate the credit union’s risk of material misstatement and compliace violations due to internal control deficiencies.","Active","Technical","",""
"44","Fraud","Knowledge of types of fraud, indicators of possible fraud, and techniques to identify, investigate, and document fraud.","Active","Technical","",""
"45","Policy Knowledge Maintenance","Maintains and builds on policy knowledge to stay abreast of changes and updates to internal Agency policy and relevant external policies.","Active","Technical","",""
"46","Credit Risk Management","Knowledge of methods and tools used for credit risk management; ability to assess risk across the loan portfolio , including credit risk management practices and processes, allowance methodologies, collections, and workouts; ability to identify and evaluate mitigants for aggregate portfolio risk.","Active","Technical","",""
"47","Business Loans","Knowledge of regulations and guidance, lending principles, industry practices, and markets related to business loans; ability to assess risks and risk management practices associated with individual business loans and the aggregate portfolio.","Active","Technical","",""
"48","Residential Mortgage Loans","Knowledge of regulations and guidance, lending principles, and industry practices related to residential mortgage loans; ability to assess risks and risk management practices associated with mortgage loans.","Active","Technical","",""
"49","Indirect Loans/Leases","Knowledge of regulations and guidance, lending principles, and industry practices related to indirect loans/leases; ability to assess risks and risk management practices associated with indirect loans/leases.","Active","Technical","",""
"50","Investments","Knowledge of investment policies and principles, industry practices, and markets, including pre-purchase analysis, portfolio management, permissible investment activities, characteristics (e.g., cash flows, indices, pricing, optionality), and related risk.","Active","Technical","",""
"51","Liquidity Risk Management","Knowledge of regulations and supervisory guidance related to liquidity risk and methods to identify, measure, monitor, and control liquidity risk; ability to assess liquidity risk, including actions to mitigate liquidity risk.","Active","Technical","",""
"52","Interest Rate Risk Management","Knowledge of regulations and supervisory guidance related to interest rate risk and methods to identify, measure, monitor, and control interest rate risk; ability to assess interest rate risk, including actions to mitigate interest rate risk.","Active","Technical","",""
"53","Asset Liability Management Modeling","Knowledge of models used to estimate the financial risks to which the institution is exposed; ability to assess adequacy of the credit union’s asset liability management (ALM) models and practices.","Active","Technical","",""
"54","Compliance Risk Management","Knowledge of the laws, regulations, and supervisory guidance related to compliance risk and methods to identify, measure, monitor, and control compliance risk; ability to assess compliance risk, including actions to mitigate compliance risk; ability to facilitate resolution when violations occur.","Active","Technical","",""
"55","Federal Consumer Protection Laws and Regulations","Knowledge of federal consumer protection laws and regulations applicable to credit unions (for example, Truth in Savings Act, Regulations B, C, D, E, M, P, X, Z), including consequences of non-compliance; ability to determine compliance with laws and regulations.","Active","Technical","",""
"56","Payment System Infrastructure","Knowledge of payment system delivery channels, components, and structure; ability to assess payment systems and related risk, including actions to mitigate risk.","Active","Technical","",""
"57","Payment System Oversight","Knowledge of standards, processes, and practices to identify, measure, prevent, and mitigate risks, threats, and vulnerabilities associated with payment systems.","Active","Technical","",""
"58","Payment System Governance","Knowledge of NCUA Rules and Regulations, agency directives and guidance, and  industry rules, guidelines, and best practices related to identifying, measuring, managing, monitoring, reporting, and controlling risks in payment systems; ability to assess governance and related risks.","Active","Technical","",""
"59","Payment System Security and Controls","Knowledge of logical and physical access controls and oversight activities used to ensure protection of credit union assets and integrity of payment information (e.g., member information, PII).","Active","Technical","",""
"60","Information Technology Governance","Knowledge of NCUA rules and regulations (e.g., RR Part 748, 749), agency directives and guidance, and industry best practices related to managing, monitoring, reporting, and controlling risks in information technology; ability to assess governance and related risks.","Active","Technical","",""
"61","Information Technology Risk Management","Knowledge of standards, tools, and practices to identify, detect, prevent, and mitigate information technology risks, threats, and vulnerabilities; includes the risk assessment process, risk management program, and the audit function; ability to assess adequacy of controls.","Active","Technical","",""
"62","Information Security Controls","Knowledge of logical and physical tools and techniques to ensure protection, confidentiality, integrity, and availability of data and information.","Active","Technical","",""
"63","Business Continuity","Knowledge of policies, procedures, and practices (e.g., business impact analysis, risk management, testing) to ensure continuity of business operations in the event of a disaster or incident.","Active","Technical","",""
"64","BSA/AML Compliance Risk Management","Knowledge of BSA/AML laws, rules, regulations, and supervisory guidance and the methods to identify, measure, monitor, and control BSA/AML compliance risk; ability to assess BSA/AML compliance risk and facilitate resolution when violations or deficiencies are identified.","Active","Technical","",""
"65","Office of Foreign Assets Control Compliance Risk Management","Knowledge of OFAC laws, rules, regulations, and supervisory guidance and the methods to identify, measure, monitor, and control OFAC compliance risk; ability to assess OFAC compliance risk and facilitate resolution when violations or deficiencies are identified.","Active","Technical","",""
"66","Commitment to the Rule of Law and the Principles of the American Founding","This core qualification requires a demonstrated knowledge of the American system of government, commitment to uphold the Constitution and the rule of law, and commitment to serve the American people.","Active","ECQ","",""
"67","Knowledge of the American System of Government","Demonstrates understanding and appreciation of the American system of government, including the Constitution, the Bill of Rights, separation of powers, federalism, and the historical development of the American Nation.","Active","ECQ","",""
"68","Commitment to the Rule of Law","Upholds the principles of the American Founding, including equality under the law and democratic self-government. Ensures the law is applied fairly and consistently.","Active","ECQ","",""
"69","Civic-Mindedness","Stays up-to-date on important developments in American government and aligns organizational objectives and practices with presidential and public interests. Demonstrates a commitment to serve the American people.","Active","ECQ","",""
"70","Driving Efficiency","This core qualification involves the demonstrated ability to strategically and efficiently manage resources, budget effectively, cut wasteful spending, and pursue efficiency through process and technological upgrades.","Active","ECQ","",""
"71","Fiscal Responsibility","Strategically manages, allocates and monitors financial resources. Aligns priorities and initiatives to justify budget proposals. Monitors expenditures, cuts unnecessary costs, and uses cost-benefit analysis to set priorities.","Active","ECQ","",""
"72","Managing Resources","Manages resources efficiently and effectively based on current and projected organizational goals, skills, budget considerations, and staffing needs.","Active","ECQ","",""
"73","Leveraging Technology","Explores emerging technology and potential applications. Incorporates technology to enhance efficiency and achieve results. Ensures access to and security of technology systems.","Active","ECQ","",""
"74","Merit and Competence","This core qualification involves the demonstrated knowledge, ability and technical competence to effectively and reliably produce work that is of exceptional quality","Active","ECQ","",""
"75","Technical Skill","Possesses the requisite technical knowledge and subject matter expertise to consistently produce timely, high-quality work. Is considered a strong contributor in his or her domain.","Active","ECQ","",""
"76","Problem Solving","Engages in critical and data-driven thinking when diagnosing root causes and evaluating options. Identifies and promptly addresses the most pressing, high-priority problems.","Active","ECQ","",""
"77","Agility and Resilience","Anticipates and adapts to change, new ideas, new information, and new conditions. Is committed to continuous improvement. Deals effectively with pressure and remains optimistic and persistent, even under adversity.","Active","ECQ","",""
"78","Leading People","This core qualification involves the demonstrated ability to lead and inspire a group toward meeting the organization’s vision, mission, and goals, and to drive a high-performance, high-accountability culture. This includes, when necessary, the ability to lead people through change and to hold individuals accountable.","Active","ECQ","",""
"79","Accountability","Ensures that employees are appropriately recruited, selected, appraised, trained, and retained. Takes swift action to address performance- or conduct-based deficiencies in employees supervised. Holds self and others accountable for measurable high-quality, timely, and cost-effective results.","Active","ECQ","",""
"80","Developing Others","Recognizes and rewards outstanding achievement in others. Develops the ability of others to perform and contribute to the organization by providing opportunities to learn through formal and informal methods. Cultivates a dynamic environment in which employees are not afraid to make mistakes.","Active","ECQ","",""
"81","Executive Judgement","Makes well-reasoned, timely, and effective decisions and considers short- and long-term implications. Communicates effectively with stakeholders across all organizational levels, sharing and guarding information where appropriate.","Active","ECQ","",""
"82","Achieving Results","This core qualification involves the demonstrated ability to achieve both individual and organizational results, and to align results to stated goals from superiors.","Active","ECQ","",""
"83","Operational Mindset","Effectively translates strategies into actionable steps and processes. Partners effectively with stakeholders to drive adoption and addresses blockers to ensure successful implementation.","Active","ECQ","",""
"84","Innovation","Applies creativity to improving products and processes, challenges convention, takes measured risks, and considers ways to simplify and remove unnecessary requirements","Active","ECQ","",""
"85","Strategic Thinking","Formulates objectives and priorities and implements plans consistent with the long-term interests of the organization by evaluating conditions, resources, capabilities, constraints, and organizational goals and values.","Active","ECQ","",""
"86","Retire Me","Test","Retired","OPM","",""
